species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium.s__Atopobium_vaginae	3.70882413730727	2.369557353238	4.73289471376856	5.3953581995036	4.23518346239115	4.08836357324172	1	1.14494065669241
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_parasanguinis	3.830370318716	3.82086140671791	3.05128935941905	3.38838418963173	1.43673824354376	3.10552870360569	2	0.988041873500827
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_gordonii	1.87170467250497	3.88579170041057	2.1497987944484	3.28204992214038	3.84981310567729	3.00783163903632	3	0.946301639647085
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_mucosa	3.62693808279482	2.25721260582513	2.82974950699736	1.31861131195474	4.91821880700727	2.99014606291586	4	1.36747171035033
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_flavescens	3.23908843622439	3.10546423494864	3.50649019439486	1.95531581700384	2.37074868230198	2.83542147297474	5	0.647439207077718
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_sicca	3.01961257858531	3.43183213440949	2.24435327010519	2.68912726086871	2.77218675396195	2.83142239958613	6	0.437125360779671
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_matruchotii	3.50011269840409	2.96258409315508	1.55627930863424	1.55468180720484	2.78761699715411	2.47225498091047	7	0.877114486301696
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Dolosigranulum.s__Dolosigranulum_pigrum	2.24378409213394	1.3633154115676	2.60038384661653	3.30482951434907	2.50151955868347	2.40276648467012	8	0.701472814048024
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	2.00613342966556	2.89308439923079	2.09400646563467	1.87672943406791	2.99633530484234	2.37325780668825	9	0.528617843891472
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	2.17243116798954	1.96548312364997	3.20057702883575	1.53106291103203	2.11685850471365	2.19728254724419	10	0.614667595313346
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.48417369059508	1.6956445171883	1.64360589399399	1.60334724516804	2.07335630751281	2.10002553089164	11	0.796101372970947
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_sanguinis	0.991655616605572	2.99837909481304	1.30662051970356	0.698046550045863	2.42996254952305	1.68493286613822	12	0.98462028237024
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_melaninogenica	1.22003818115929	2.54149050454745	0.8163176917754	2.00300097130629	1.67439504855246	1.65104847946818	13	0.67079206614212
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_parvula	1.07927063920806	2.59534765185498	1.83626266955064	0.763688298823046	1.66131011287551	1.58717587446245	14	0.710642308892893
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa	1.97410504028424	0.242260395571436	1.26835551740671	1.93082643808231	1.92065997842333	1.4672414739536	15	0.744571067820443
